22C,
Longitud de onda,Absorbancia
3379.93077,-0.02107
3379.22278,-0.02109
3378.51479,-0.02112
3377.80681,-0.02114
3377.09882,-0.02116
3376.39083,-0.02118
3375.68284,-0.02121
3374.97486,-0.02123
3374.26687,-0.02125
3373.55888,-0.02127
3372.8509,-0.02128
3372.14291,-0.0213
3371.43492,-0.02132
3370.72693,-0.02133
3370.01895,-0.02135
3369.31096,-0.02136
3368.60297,-0.02138
3367.89499,-0.02139
3367.187,-0.0214
3366.47901,-0.02142
3365.77102,-0.02143
3365.06304,-0.02145
3364.35505,-0.02146
3363.64706,-0.02148
3362.93908,-0.0215
3362.23109,-0.02152
3361.5231,-0.02153
3360.81511,-0.02155
3360.10713,-0.02157
3359.39914,-0.02159
3358.69115,-0.02161
3357.98317,-0.02162
3357.27518,-0.02164
3356.56719,-0.02166
3355.8592,-0.02167
3355.15122,-0.02169
3354.44323,-0.0217
3353.73524,-0.02171
3353.02726,-0.02172
3352.31927,-0.02173
3351.61128,-0.02174
3350.90329,-0.02175
3350.19531,-0.02175
3349.48732,-0.02176
3348.77933,-0.02176
3348.07135,-0.02176
3347.36336,-0.02176
3346.65537,-0.02175
3345.94738,-0.02175
3345.2394,-0.02174
3344.53141,-0.02174
3343.82342,-0.02173
3343.11543,-0.02172
3342.40745,-0.02171
3341.69946,-0.0217
3340.99147,-0.02169
3340.28349,-0.02168
3339.5755,-0.02167
3338.86751,-0.02166
3338.15952,-0.02165
3337.45154,-0.02164
3336.74355,-0.02163
3336.03556,-0.02162
3335.32758,-0.0216
3334.61959,-0.02159
3333.9116,-0.02158
3333.20361,-0.02156
3332.49563,-0.02154
3331.78764,-0.02153
3331.07965,-0.02151
3330.37167,-0.02149
3329.66368,-0.02147
3328.95569,-0.02144
3328.2477,-0.02142
3327.53972,-0.0214
3326.83173,-0.02137
3326.12374,-0.02135
3325.41576,-0.02133
3324.70777,-0.02131
3323.99978,-0.02128
3323.29179,-0.02126
3322.58381,-0.02124
3321.87582,-0.02122
3321.16783,-0.0212
3320.45985,-0.02118
3319.75186,-0.02116
3319.04387,-0.02114
3318.33588,-0.02112
3317.6279,-0.0211
3316.91991,-0.02108
3316.21192,-0.02107
3315.50394,-0.02105
3314.79595,-0.02103
3314.08796,-0.02101
3313.37997,-0.021
3312.67199,-0.02098
3311.964,-0.02096
3311.25601,-0.02094
3310.54802,-0.02092
3309.84004,-0.02091
3309.13205,-0.02089
3308.42406,-0.02087
3307.71608,-0.02085
3307.00809,-0.02084
3306.3001,-0.02082
3305.59211,-0.0208
3304.88413,-0.02079
3304.17614,-0.02077
3303.46815,-0.02075
3302.76017,-0.02074
3302.05218,-0.02072
3301.34419,-0.02071
3300.6362,-0.0207
3299.92822,-0.02068
3299.22023,-0.02067
3298.51224,-0.02066
3297.80426,-0.02065
3297.09627,-0.02064
3296.38828,-0.02063
3295.68029,-0.02062
3294.97231,-0.02061
3294.26432,-0.0206
3293.55633,-0.02059
3292.84835,-0.02057
3292.14036,-0.02056
3291.43237,-0.02055
3290.72438,-0.02054
3290.0164,-0.02052
3289.30841,-0.02051
3288.60042,-0.0205
3287.89244,-0.02049
3287.18445,-0.02047
3286.47646,-0.02046
3285.76847,-0.02045
3285.06049,-0.02044
3284.3525,-0.02043
3283.64451,-0.02043
3282.93653,-0.02042
3282.22854,-0.02042
